HOLEID,DEPTH,INCL,AZI,TYPE,DESC
UW380,299.34,65,312,vn,q lim 
UW380,302.87,89,85,vn,q cor am
UW380,336.47,49,345,vn,q am cl ine py
UW380,378.25,54,269,vn,q am py bm cor ine
UW381,405.98,79,59,FW,q cor bm
UW381,424.52,88,49,HW,q cor bm
UW381,394.62,77,294,vn,q am cl py
UW384,505.7,85,8,vn,q ca py
UW384,497.8,41,104,vn,ca q
UW385,424.97,69,106,FW,q ca py bm cor ine
UW385,445,69,109,FW,q cor
UW386,367.76,71,236,vn,q ca am cor bm
UW386,370.25,77,105,vn,q ca am cor bm
UW386,373.8,87,129,vn,q cor bm
UW386,383.21,90,95,vn,q ca am cor bm
UW386,386.88,89,264,vn,q cor bm
UW386,391.42,85,293,vn,q ca am cor bm
UW386,393.81,86,69,intvn,q py
UW390,367.51,68,117,FW,
UW390,368.1,85,104,intvn,
UW390,411.45,72,10,vn,q am ca cor py bm
UW390,411.6,80,9,vn,q am ca cor py bm
UW390,382.17,86,276,vn,q py
UW392,338.86,65,302,vn,q am ca cor py bm
UW392,394.05,76,254,FW,q cor bm
UW392,403.2,81,258,HW,q cor bm
UW393,271.75,81,68,FW,q py bm cor
UW393,272.9,86,67,HW,q py bm cor
UW393,321.15,58,77,FW,q ca ine
UW393,332.1,54,97,FW,q ca q py
UW398,349.25,61,86,HW,q cor bm
UW398,364.77,46,89,FW,q cor bm
UW399,321,82,261,vn,q ca am
UW399,325.84,78,67,vn,q ca
UW399,327.44,84,118,vn,q cor py bm
UW399,338.5,65,244,vn,q cor py bm
UW399,342.34,60,290,vn,q ca cor ine py bm
UW399,345.99,66,283,vn,q ca cor py bm
UW399,369.37,80,284,FW,q py bm cor
UW399,372.6,84,76,intvn,q py bm cor
UW400,429.55,86,76,vn,q py bm cor
UW400,446.55,69,118,HW,q py bm cor
UW400,459.4,72,96,FW,q ca py bm cor
UW400,431.38,89,146,vn,q ca cor py bm
UW401,348,51,97,vn,q ca py
UW401,360.48,81,107,HW,q cor py bm
UW401,371.5,55,81,FW,q ca cor py bm
UW402,285.58,61,345,vn,q ca py cor bm
UW402,287.58,75,355,vn,q ca py cor bm
UW402,497.4,79,326,vn,q cor py bm
UW413,475.1,44,107,HW,q cor py bm
UW413,476.1,78,73,intvb,q cor py bm
UW413,535.2,54,155,vn,q cl py
